Year,Gender,GeoCode,Value
2019,,6.0,0.0
2018,,6.0,0.0
2017,,6.0,0.0
2016,,6.0,0.0
2015,,6.0,0.0
2014,,6.0,0.0
2013,,6.0,0.0
2012,,6.0,0.0
2011,,6.0,6.12
2010,,6.0,0.0
2009,,6.0,0.0
2020,,7.0,2.87
2019,,7.0,5.7
2018,,7.0,2.87
2017,,7.0,9.35
2016,,7.0,0.0
2015,,7.0,0.0
2014,,7.0,0.0
2013,,7.0,2.79
2012,,7.0,0.0
2011,,7.0,0.0
2010,,7.0,0.0
2009,,7.0,2.3
2020,,8.0,2.76
2019,,8.0,0.0
2018,,8.0,5.22
2017,,8.0,2.45
2016,,8.0,2.26
2015,,8.0,2.61
2014,,8.0,2.31
2013,,8.0,2.42
2012,,8.0,2.33
2011,,8.0,2.17
2010,,8.0,6.21
2009,,8.0,2.04
2020,,9.0,6.56
2019,,9.0,0.0
2018,,9.0,0.0
2017,,9.0,6.04
2016,,9.0,2.44
2015,,9.0,0.0
2014,,9.0,2.31
2013,,9.0,0.0
2012,,9.0,7.46
2011,,9.0,2.05
2010,,9.0,4.35
2009,,9.0,0.0
2020,,10.0,0.0
2019,,10.0,5.86
2018,,10.0,5.69
2017,,10.0,0.0
2016,,10.0,1.76
2015,,10.0,0.0
2014,,10.0,1.68
2013,,10.0,5.02
2012,,10.0,3.05
2011,,10.0,4.51
2010,,10.0,3.0
2009,,10.0,2.7
2020,,11.0,2.81
2019,,11.0,2.7
2018,,11.0,0.0
2017,,11.0,7.26
2016,,11.0,4.27
2015,,11.0,0.0
2014,,11.0,1.99
2013,,11.0,2.02
2012,,11.0,3.68
2011,,11.0,0.0
2010,,11.0,3.36
2009,,11.0,3.26
2020,,12.0,0.0
2019,,12.0,4.91
2018,,12.0,2.28
2017,,12.0,2.13
2016,,12.0,0.0
2015,,12.0,1.92
2014,,12.0,3.66
2013,,12.0,0.0
2012,,12.0,3.38
2011,,12.0,1.58
2010,,12.0,1.47
2009,,12.0,7.05
2020,,13.0,0.0
2019,,13.0,4.44
2018,,13.0,0.0
2017,,13.0,8.1
2016,,13.0,3.98
2015,,13.0,4.22
2014,,13.0,0.0
2013,,13.0,0.0
2012,,13.0,0.0
2011,,13.0,0.0
2010,,13.0,3.55
2009,,13.0,0.0
2020,,14.0,0.0
2019,,14.0,0.0
2018,,14.0,0.0
2017,,14.0,5.29
2016,,14.0,0.0
2015,,14.0,0.0
2014,,14.0,0.0
2013,,14.0,0.0
2012,,14.0,4.69
2011,,14.0,0.0
2010,,14.0,0.0
2009,,14.0,0.0
2020,,15.0,2.53
2019,,15.0,2.27
2018,,15.0,2.33
2017,,15.0,0.0
2016,,15.0,0.0
2015,,15.0,0.0
2014,,15.0,0.0
2013,,15.0,3.84
2012,,15.0,3.71
2011,,15.0,5.12
2010,,15.0,1.68
2009,,15.0,1.58
2020,,16.0,0.0
2019,,16.0,0.0
2018,,16.0,5.1
2017,,16.0,4.74
2016,,16.0,6.96
2015,,16.0,2.2
2014,,16.0,0.0
2013,,16.0,4.73
2012,,16.0,0.0
2011,,16.0,1.92
2010,,16.0,2.05
2009,,16.0,2.14
2020,,17.0,0.0
2019,,17.0,0.0
2018,,17.0,27.03
2017,,17.0,0.0
2016,,17.0,0.0
2015,,17.0,0.0
2014,,17.0,0.0
2013,,17.0,0.0
2012,,17.0,0.0
2011,,17.0,0.0
2010,,17.0,0.0
2009,,17.0,0.0
2020,,18.0,0.0
2019,,18.0,0.0
2018,,18.0,0.0
2017,,18.0,8.93
2016,,18.0,8.26
2015,,18.0,0.0
2014,,18.0,0.0
2013,,18.0,7.69
2012,,18.0,0.0
2011,,18.0,0.0
2010,,18.0,11.7
2009,,18.0,0.0
2020,,19.0,0.0
2019,,19.0,0.0
2018,,19.0,0.0
2017,,19.0,0.0
2016,,19.0,5.81
2015,,19.0,0.0
2014,,19.0,0.0
2013,,19.0,0.0
2012,,19.0,0.0
2011,,19.0,5.81
2010,,19.0,0.0
2009,,19.0,0.0
