Year,Gender,GeoCode,Value
2018,,11,0
2017,,11,3
2016,,11,2
2015,,11,0
2014,,11,1
2013,,11,1
2012,,11,2
2011,,11,0
2010,,11,2
2009,,11,2
2020,,12,0
2019,,12,2
2018,,12,1
2017,,12,1
2016,,12,0
2015,,12,1
2014,,12,2
2013,,12,0
2012,,12,2
2011,,12,1
2010,,12,1
2009,,12,5
2020,,13,0
2019,,13,1
2018,,13,0
2017,,13,2
2016,,13,1
2015,,13,1
2014,,13,0
2013,,13,0
2012,,13,0
2011,,13,0
2010,,13,1
2009,,13,0
2020,,14,0
2019,,14,0
2018,,14,0
2017,,14,1
2016,,14,0
2015,,14,0
2014,,14,0
2013,,14,0
2012,,14,1
2011,,14,0
2010,,14,0
2009,,14,0
2020,,15,1
2019,,15,1
2018,,15,1
2017,,15,0
2016,,15,0
2015,,15,0
2014,,15,0
2013,,15,2
2012,,15,2
2011,,15,3
2010,,15,1
2009,,15,1
2020,,16,0
2019,,16,0
2018,,16,2
2017,,16,2
2016,,16,3
2015,,16,1
2014,,16,0
2013,,16,2
2012,,16,0
2011,,16,1
2010,,16,1
2009,,16,1
2020,,17,0
2019,,17,0
2018,,17,1
2017,,17,0
2016,,17,0
2015,,17,0
2014,,17,0
2013,,17,0
2012,,17,0
2011,,17,0
2010,,17,0
2009,,17,0
2020,,18,0
2019,,18,0
2018,,18,0
2017,,18,1
2016,,18,1
2015,,18,0
2014,,18,0
2013,,18,1
2012,,18,0
2011,,18,0
2010,,18,2
2009,,18,0
2020,,19,0
2019,,19,0
2018,,19,0
2017,,19,0
2016,,19,1
2015,,19,0
2014,,19,0
2013,,19,0
2012,,19,0
2011,,19,1
2010,,19,0
2009,,19,0
2020,,1,175
2019,,1,211
2018,,1,190
2017,,1,220
2016,,1,216
2015,,1,216
2014,,1,205
2013,,1,244
2012,,1,237
2011,,1,242
2010,,1,235
2009,,1,215
2020,,2,302
2019,,2,301
2018,,2,337
2017,,2,342
2016,,2,320
2015,,2,327
2014,,2,330
2013,,2,360
2012,,2,369
2011,,2,406
2010,,2,404
2009,,2,412
2020,,3,344
2019,,3,312
2018,,3,345
2017,,3,353
2016,,3,373
2015,,3,371
2014,,3,358
2013,,3,387
2012,,3,415
2011,,3,448
2010,,3,412
2009,,3,410
2020,,4,262
2019,,4,304
2018,,4,302
2017,,4,320
2016,,4,336
2015,,4,371
2014,,4,343
2013,,4,391
2012,,4,391
2011,,4,390
2010,,4,401
2009,,4,423
2020,,5,356
2019,,5,309
2018,,5,326
2017,,5,334
2016,,5,363
2015,,5,337
2014,,5,345
2013,,5,353
2012,,5,396
2011,,5,393
2010,,5,417
2009,,5,380
2020,,6,255
2019,,6,259
2018,,6,255
2017,,6,250
2016,,6,237
2015,,6,247
2014,,6,234
2013,,6,247
2012,,6,282
2011,,6,327
2010,,6,326
2009,,6,319
2020,,7,348
2019,,7,351
2018,,7,349
2017,,7,321
2016,,7,330
2015,,7,340
2014,,7,350
2013,,7,358
2012,,7,385
2011,,7,373
2010,,7,434
2009,,7,435
2020,,8,362
2019,,8,347
2018,,8,383
2017,,8,408
2016,,8,442
2015,,8,383
2014,,8,432
2013,,8,414
2012,,8,430
2011,,8,461
2010,,8,483
2009,,8,491
2020,,9,305
2019,,9,334
2018,,9,379
2017,,9,331
2016,,9,410
2015,,9,405
2014,,9,433
2013,,9,368
2012,,9,402
2011,,9,487
2010,,9,460
2009,,9,519
2020,,10,483
2019,,10,512
2018,,10,527
2017,,10,506
2016,,10,567
2015,,10,582
2014,,10,594
2013,,10,598
2012,,10,656
2011,,10,665
2010,,10,667
2009,,10,742
2020,,11,356
2019,,11,370
2018,,11,375
2017,,11,413
2016,,11,468
2015,,11,457
2014,,11,502
2013,,11,496
2012,,11,544
2011,,11,546
2010,,11,595
2009,,11,613
2020,,12,409
2019,,12,407
2018,,12,438
2017,,12,469
2016,,12,514
2015,,12,522
2014,,12,546
2013,,12,521
2012,,12,591
2011,,12,631
2010,,12,680
2009,,12,709
2020,,13,201
2019,,13,225
2018,,13,210
2017,,13,247
2016,,13,251
2015,,13,237
2014,,13,242
2013,,13,239
2012,,13,268
2011,,13,274
2010,,13,282
2009,,13,279
2020,,14,202
2019,,14,197
2018,,14,216
2017,,14,189
2016,,14,238
2015,,14,218
2014,,14,210
2013,,14,209
2012,,14,213
2011,,14,195
2010,,14,237
2009,,14,213
2020,,15,396
2019,,15,441
2018,,15,429
2017,,15,425
2016,,15,470
2015,,15,496
2014,,15,513
2013,,15,521
2012,,15,539
2011,,15,586
2010,,15,597
2009,,15,632
2020,,16,380
2019,,16,373
2018,,16,392
2017,,16,422
2016,,16,431
2015,,16,454
2014,,16,456
2013,,16,423
2012,,16,507
2011,,16,520
2010,,16,488
2009,,16,468
2020,,17,44
2019,,17,44
2018,,17,37
2017,,17,39
2016,,17,50
2015,,17,54
2014,,17,56
2013,,17,44
2012,,17,62
2011,,17,45
2010,,17,56
2009,,17,70
2020,,18,99
2019,,18,141
2018,,18,135
2017,,18,112
2016,,18,121
2015,,18,116
2014,,18,124
2013,,18,130
2012,,18,126
2011,,18,153
2010,,18,171
2009,,18,184
2020,,19,142
2019,,19,142
2018,,19,164
2017,,19,159
2016,,19,172
2015,,19,158
2014,,19,154
2013,,19,157
2012,,19,191
2011,,19,172
2010,,19,157
2009,,19,154
2020,,1,11.43
2019,,1,0
2018,,1,5.26
2017,,1,4.55
2016,,1,4.63
2015,,1,0
2014,,1,0
2013,,1,4.1
2012,,1,4.22
2011,,1,0
2010,,1,4.26
2009,,1,0
2020,,2,3.31
2019,,2,0
2018,,2,0
2017,,2,0
2016,,2,3.12
2015,,2,3.06
2014,,2,3.03
2013,,2,2.78
2012,,2,5.42
2011,,2,2.46
2010,,2,2.48
2009,,2,2.43
2020,,3,0
2019,,3,0
2018,,3,2.9
2017,,3,5.67
2016,,3,2.68
2015,,3,0
2014,,3,2.79
2013,,3,0
2012,,3,4.82
2011,,3,0
2010,,3,2.43
2009,,3,0
2020,,4,0
2019,,4,0
2018,,4,0
2017,,4,0
2016,,4,2.98
2015,,4,0
2014,,4,2.92
2013,,4,2.56
2012,,4,0
2011,,4,2.56
2010,,4,0
2009,,4,0
2020,,5,2.81
2019,,5,0
2018,,5,6.13
2017,,5,0
2016,,5,2.75
2015,,5,2.97
2014,,5,2.9
2013,,5,0
2012,,5,2.53
2011,,5,10.18
2010,,5,9.59
2009,,5,0
2020,,6,3.92
2019,,6,0
2018,,6,0
2017,,6,0
2016,,6,0
2015,,6,0
2014,,6,0
2013,,6,0
2012,,6,0
2011,,6,6.12
2010,,6,0
2009,,6,0
2020,,7,2.87
2019,,7,5.7
2018,,7,2.87
2017,,7,9.35
2016,,7,0
2015,,7,0
2014,,7,0
2013,,7,2.79
2012,,7,0
2011,,7,0
2010,,7,0
2009,,7,2.3
2020,,8,2.76
2019,,8,0
2018,,8,5.22
2017,,8,2.45
2016,,8,2.26
2015,,8,2.61
2014,,8,2.31
2013,,8,2.42
2012,,8,2.33
2011,,8,2.17
2010,,8,6.21
2009,,8,2.04
2020,,9,6.56
2019,,9,0
2018,,9,0
2017,,9,6.04
2016,,9,2.44
2015,,9,0
2014,,9,2.31
2013,,9,0
2012,,9,7.46
2011,,9,2.05
2010,,9,4.35
2009,,9,0
2020,,10,0
2019,,10,5.86
2018,,10,5.69
2017,,10,0
2016,,10,1.76
2015,,10,0
2014,,10,1.68
2013,,10,5.02
2012,,10,3.05
2011,,10,4.51
2010,,10,3
2009,,10,2.7
2020,,11,2.81
2019,,11,2.7
2018,,11,0
2017,,11,7.26
2016,,11,4.27
2015,,11,0
2014,,11,1.99
2013,,11,2.02
2012,,11,3.68
2011,,11,0
2010,,11,3.36
2009,,11,3.26
2020,,12,0
2019,,12,4.91
2018,,12,2.28
2017,,12,2.13
2016,,12,0
2015,,12,1.92
2014,,12,3.66
2013,,12,0
2012,,12,3.38
2011,,12,1.58
2010,,12,1.47
2009,,12,7.05
2020,,13,0
2019,,13,4.44
2018,,13,0
2017,,13,8.1
2016,,13,3.98
2015,,13,4.22
2014,,13,0
2013,,13,0
2012,,13,0
2011,,13,0
2010,,13,3.55
2009,,13,0
2020,,14,0
2019,,14,0
2018,,14,0
2017,,14,5.29
2016,,14,0
2015,,14,0
2014,,14,0
2013,,14,0
2012,,14,4.69
2011,,14,0
2010,,14,0
2009,,14,0
2020,,15,2.53
2019,,15,2.27
2018,,15,2.33
2017,,15,0
2016,,15,0
2015,,15,0
2014,,15,0
2013,,15,3.84
2012,,15,3.71
2011,,15,5.12
2010,,15,1.68
2009,,15,1.58
2020,,16,0
2019,,16,0
2018,,16,5.1
2017,,16,4.74
2016,,16,6.96
2015,,16,2.2
2014,,16,0
2013,,16,4.73
2012,,16,0
2011,,16,1.92
2010,,16,2.05
2009,,16,2.14
2020,,17,0
2019,,17,0
2018,,17,27.03
2017,,17,0
2016,,17,0
2015,,17,0
2014,,17,0
2013,,17,0
2012,,17,0
2011,,17,0
2010,,17,0
2009,,17,0
2020,,18,0
2019,,18,0
2018,,18,0
2017,,18,8.93
2016,,18,8.26
2015,,18,0
2014,,18,0
2013,,18,7.69
2012,,18,0
2011,,18,0
2010,,18,11.7
2009,,18,0
2020,,19,0
2019,,19,0
2018,,19,0
2017,,19,0
2016,,19,5.81
2015,,19,0
2014,,19,0
2013,,19,0
2012,,19,0
2011,,19,5.81
2010,,19,0
2009,,19,0
